	-		01

	a		0000

	b		1011001

	c		000110

	d		00100

	e		1100

	f		001010

	g		1110111

	h		11110

	i		10111

	j		10101111001

	k		0001000

	l		10010

	m		101101

	n		11100

	o		0011

	p		1011000

	q		00101111001

	r		11010

	s		11011

	t		1000

	u		111110

	v		0010110

	w		100110

	x		0010111101

	y		101010

	z		001011110000

	A		1010110

	B		00010010

	C		10101110

	D		00010011

	E		1010001

	F		101011111

	G		001011111

	H		00101110

	I		1110101

	J		00011110011

	K		1010111101

	L		11101000

	M		00010100

	N		11101100

	O		0001011

	P		111010010

	Q		101011110000

	R		11101101

	S		0001110

	T		1010000

	U		111010011

	V		0001111000

	W		00010101

	X		0010111100011

	Y		000111101

	Z		0010111100010

	0		10101111000100

	1		000111100100

	2		10101111000111

	3		10101111000110

	4		1010111100010111

	5		1010111100010101

	6		1010111100010100

	7		10101111000101100

	8		10101111000101101

	9		000111100101

	,		101001

	.		100111

	;		00011111

	-		111111

